value	namei	namej
0.190559234391199	Benzoic acid esters	Imidazopyrimidines
0.189893133923605	Dicarboxylic acids and derivatives	1-monoacylglycerols
0.189386486619946	Coumarins and derivatives	Medium-chain fatty acids
0.189228286226692	Azolidines	Alpha amino acids
0.188535605951071	Glutamine and derivatives	Indoles and derivatives
0.188525909491768	Ergosterols and derivatives	Phenylpropanes
0.188342118751502	L-alpha-amino acids	1-monoacylglycerols
0.187162219935066	Organic sulfuric acids and derivatives	1-monoacylglycerols
0.187019684739769	Bile acids, alcohols and derivatives	Keto acids and derivatives
0.186883452114338	Triacylglycerols	Fatty acid esters
0.186421646926192	Ergosterols and derivatives	Beta-diketones
0.185967702008427	Tricarboxylic acids and derivatives	Amino acids, peptides, and analogues
0.185327945266604	Organic sulfuric acids and derivatives	Phenolic glycosides
0.18478896280938	Hydroxy acids and derivatives	Dicarboxylic acids and derivatives
0.184515349435895	Tricarboxylic acids and derivatives	Imidazopyrimidines
0.184161326885558	1-acyl-sn-glycero-3-phosphoethanolamines	Alpha amino acids
0.18386754789783	Alkyl-phenylketones	Beta-diketones
0.183650113674309	Bile acids, alcohols and derivatives	Thiazoles
0.183299991664894	Indoles and derivatives	Triterpenoids
0.183086109859026	Coumarins and derivatives	Keto acids and derivatives
0.182620707019599	L-alpha-amino acids	Organic sulfuric acids and derivatives
0.182408957956198	Peptides	Fatty amides
0.182164777260026	Benzoic acid esters	Lactones
0.181765391679138	Bile acids, alcohols and derivatives	Amino acids, peptides, and analogues
0.181629050422497	Gluco/mineralocorticoids, progestogins and derivatives	Acyl carnitines
0.181177339669717	Hydroxybenzoic acid derivatives	Tetrahydroxy bile acids, alcohols and derivatives
0.179700711690583	Azolidines	Phenolic glycosides
0.179331674135435	Dipeptides	Glutamine and derivatives
0.178878520573165	Tricarboxylic acids and derivatives	Fatty amides
0.178838609162197	Carboximidic acids and derivatives	Phenol ethers
0.178767366209944	Beta-diketones	Fatty alcohols
0.178621531647114	L-alpha-amino acids	Keto acids and derivatives
0.178306329620826	Purine nucleosides	Phenylpropanes
0.178025322822983	L-alpha-amino acids	Phenolic glycosides
0.177698655073918	Diterpenoids	Thiazoles
0.177680212956661	Ergosterols and derivatives	Triterpenoids
0.177390769247552	Dicarboxylic acids and derivatives	Keto acids and derivatives
0.177263499073421	Peptidomimetics	Glutamine and derivatives
0.176691082654183	Tricarboxylic acids and derivatives	Alpha amino acids
0.176062416414674	Coumarins and derivatives	Phenolic glycosides
0.175996968270195	1-monoacylglycerols	Amino acids, peptides, and analogues
0.175817699723773	Benzene and substituted derivatives	Acyl carnitines
0.175479256784021	Ergosterols and derivatives	Thiazoles
0.175100546603967	Benzopyrans	O-glycosyl compounds
0.175027641260138	Fatty acids and conjugates	Sesquiterpenoids
0.174784353985645	Alkyl-phenylketones	Organonitrogen compounds
0.174588980835699	Benzoic acid esters	Thiazoles
0.174542602522822	Dicarboxylic acids and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
0.174426402343252	Phenylpropanes	1,2-diacylglycerols
0.173893934859693	O-glycosyl compounds	Diazines
0.173888705014323	L-alpha-amino acids	O-glycosyl compounds
0.173394336035964	Coumarins and derivatives	Diterpenoids
0.17327252804531	Phenolic glycosides	Brassinolides and derivatives
0.173231008812341	Azoles	Diazines
0.172898294249839	Fatty acyl glycosides of mono- and disaccharides	Organonitrogen compounds
0.172872141377306	Fatty alcohols	1,3-diacylglycerols
0.172705375073782	O-glycosyl compounds	Indoles and derivatives
0.17266074525846	Peptidomimetics	Amino acids, peptides, and analogues
0.172584323654779	Tetrahydroxy bile acids, alcohols and derivatives	Acyl carnitines
0.171640216651921	Fatty amides	Benzoic acid esters
0.171281014486316	Phosphatidylcholines	Amino acids, peptides, and analogues
0.170452297327468	Sphingolipids	Peptidomimetics
0.170020080928573	Monoterpenoids	Diterpenoids
0.169883047437917	L-alpha-amino acids	Tricarboxylic acids and derivatives
0.169852356936085	Sulfated steroids	Triacylglycerols
0.169839055364207	Tricarboxylic acids and derivatives	Oligopeptides
0.169822738591563	Acyl carnitines	Sesquiterpenoids
0.169796103948565	L-alpha-amino acids	Phosphatidylcholines
0.169255804306285	L-alpha-amino acids	Glutamine and derivatives
0.168968877263042	Hydroxy acids and derivatives	Keto acids and derivatives
0.168315368331509	Dicarboxylic acids and derivatives	Very long-chain fatty acids
0.168220880564619	Monoterpenoids	Alpha amino acids
0.168009013027421	Annonaceous acetogenins	Long-chain fatty acids
0.167292666503251	Peptides	Fatty acids and conjugates
0.167192294544741	Organic sulfuric acids and derivatives	Thiazoles
0.165609615219857	Dipeptides	Hydroxycinnamic acids and derivatives
0.164138215487329	Cholesteryl esters	Amino acids, peptides, and analogues
0.163883008587343	Cholesterols and derivatives	Azoles
0.163101357668685	Flavonoids	Oligopeptides
0.162487286579565	1-acyl-sn-glycero-3-phosphocholines	Keto acids and derivatives
0.162262426743406	Tricarboxylic acids and derivatives	Benzenesulfonic acids and derivatives
0.16134123376688	1,2-diacylglycerols	Phosphatidylcholines
0.161191688384181	1,3-diacylglycerols	Long-chain fatty acids
0.160892992025905	Acyl carnitines	Fatty acid esters
0.159903887731554	Bile acids, alcohols and derivatives	Sesquiterpenoids
0.159866033614513	L-alpha-amino acids	Thiazoles
0.159203399896577	1,2-diacylglycerols	Phosphatidylethanolamines
0.158684038101738	Phenolic glycosides	Fatty acids and conjugates
0.158407592144592	Phenols	Triacylglycerols
0.158389738196329	Tetrahydroxy bile acids, alcohols and derivatives	Brassinolides and derivatives
0.158057545015567	Bile acids, alcohols and derivatives	Hydroxycinnamic acids and derivatives
0.157588064062978	Stigmastanes and derivatives	Brassinolides and derivatives
0.157436550826153	Annonaceous acetogenins	Benzoic acid esters
