value	namei	namej
0.0369194555750326	Carboximidic acids and derivatives	Benzopyrans
0.0360348594855511	Sulfated steroids	Dipeptides
0.0329359804082816	Benzopyrans	Tricarboxylic acids and derivatives
0.0327326263175515	Phenol ethers	Sulfated steroids
0.0318905120082692	Hydroxy acids and derivatives	Quinolines and derivatives
0.0270196469156865	Dicarboxylic acids and derivatives	Tricarboxylic acids and derivatives
0.0268003141610605	Sulfated steroids	Annonaceous acetogenins
0.0259072784202997	Dicarboxylic acids and derivatives	Carboximidic acids and derivatives
0.0232665646274268	Sphingolipids	Organic sulfuric acids and derivatives
0.0228424682090862	Azolidines	Organic sulfuric acids and derivatives
0.0207404743428531	Phenol ethers	Medium-chain fatty acids
0.0205598290787879	Azolidines	Very long-chain fatty acids
0.0204508913610066	Azolidines	Phenol ethers
0.0202579485895256	Bile acids, alcohols and derivatives	Carboximidic acids and derivatives
0.0195417168690074	Tricarboxylic acids and derivatives	Alkyl-phenylketones
0.0193006970969026	Sphingolipids	Coumarins and derivatives
0.0190260508848323	Very long-chain fatty acids	Coumarins and derivatives
0.0145652076278419	Sphingolipids	Quinolines and derivatives
0.0123989817989121	1-acyl-sn-glycero-3-phosphoethanolamines	Medium-chain fatty acids
0.0123386199490396	Phenol ethers	Coumarins and derivatives
0.0121427776003692	Sulfated steroids	Medium-chain fatty acids
0.0118125142736942	1-acyl-sn-glycero-3-phosphoethanolamines	Sulfated steroids
0.0109546967734333	1-acyl-sn-glycero-3-phosphocholines	Phenol ethers
0.00831633683005183	Very long-chain fatty acids	Sulfated steroids
0.00735552517312491	Bile acids, alcohols and derivatives	Sulfated steroids
0.00720861528428384	Ergosterols and derivatives	L-alpha-amino acids
0.00600091955960312	Ergosterols and derivatives	Coumarins and derivatives
0.005893111051282	Alkyl-phenylketones	Medium-chain fatty acids
0.00194718156773638	1-acyl-sn-glycero-3-phosphoethanolamines	Benzopyrans
0.00169538829402344	Azolidines	Quinolines and derivatives
0.000772811915391196	L-alpha-amino acids	Cholesterols and derivatives
0.000223989954063036	Flavonoids	Dipeptides
-0.000661303510568401	Dicarboxylic acids and derivatives	Sulfated steroids
-0.00234551887174716	Tricarboxylic acids and derivatives	Very long-chain fatty acids
-0.00365596395381698	Carboximidic acids and derivatives	Sulfated steroids
-0.0113038110520973	1-acyl-sn-glycero-3-phosphoethanolamines	Phenol ethers
-0.0113398680100116	Sphingolipids	Tricarboxylic acids and derivatives
-0.0125745706771893	Alkyl-phenylketones	Sulfated steroids
-0.0126020942123437	Hydroxy acids and derivatives	Carboximidic acids and derivatives
-0.0152461857943986	Benzopyrans	Cholesterols and derivatives
-0.0165674203290198	Carboximidic acids and derivatives	L-alpha-amino acids
-0.0175919804171389	L-alpha-amino acids	Medium-chain fatty acids
-0.0192893324818688	Bile acids, alcohols and derivatives	Medium-chain fatty acids
-0.0194039012462777	Sphingolipids	Phenol ethers
-0.0200303557708601	Sphingolipids	Sulfated steroids
-0.0205061180408393	1-acyl-sn-glycero-3-phosphoethanolamines	Quinolines and derivatives
-0.0217249139632879	Azolidines	Cholesterols and derivatives
-0.0219311524661818	Benzopyrans	Sulfated steroids
-0.02239336124957	Carboximidic acids and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
-0.0238445954144436	Tricarboxylic acids and derivatives	Quinolines and derivatives
-0.0246193568745258	Ergosterols and derivatives	Tricarboxylic acids and derivatives
-0.0252706404466659	Hydroxy acids and derivatives	Tricarboxylic acids and derivatives
-0.0259827953126495	Benzopyrans	Sphingolipids
-0.0266485245028687	Azolidines	Medium-chain fatty acids
-0.0276988632005693	Hydroxy acids and derivatives	Medium-chain fatty acids
-0.0292318103790549	Quinolines and derivatives	Medium-chain fatty acids
-0.0293174589921722	Tricarboxylic acids and derivatives	Medium-chain fatty acids
-0.0309396820955409	1-acyl-sn-glycero-3-phosphoethanolamines	Cholesterols and derivatives
-0.0309683958943204	Hydroxy acids and derivatives	Cholesterols and derivatives
-0.0321166416241416	Organic sulfuric acids and derivatives	Flavonoids
-0.0321926112448474	Tricarboxylic acids and derivatives	Sulfated steroids
-0.0330736697418659	Very long-chain fatty acids	Medium-chain fatty acids
-0.0330757892637657	Flavonoids	Coumarins and derivatives
-0.0336488925196683	Azolidines	Sulfated steroids
-0.0337235565678584	Tricarboxylic acids and derivatives	Annonaceous acetogenins
-0.036109798727557	1-acyl-sn-glycero-3-phosphocholines	Cholesterols and derivatives
-0.0361434962507704	Phenol ethers	Tricarboxylic acids and derivatives
-0.0375149898004692	Carboximidic acids and derivatives	Coumarins and derivatives
-0.0381249842811157	L-alpha-amino acids	Flavonoids
-0.0385803101626356	Quinolines and derivatives	Annonaceous acetogenins
-0.0403692486449888	Very long-chain fatty acids	Flavonoids
-0.0414761458224652	Flavonoids	Sulfated steroids
-0.0416444365161456	1-acyl-sn-glycero-3-phosphoethanolamines	Very long-chain fatty acids
-0.0423291773571832	Alkyl-phenylketones	Quinolines and derivatives
-0.0424025283161713	1-acyl-sn-glycero-3-phosphocholines	Carboximidic acids and derivatives
-0.0426035790408615	Cholesterols and derivatives	Quinolines and derivatives
-0.0431107879498653	Organic sulfuric acids and derivatives	Sulfated steroids
-0.0434402345629708	Ergosterols and derivatives	Quinolines and derivatives
-0.0446366909178592	Tetrahydroisoquinolines	Flavonoids
-0.0464250801090716	Sphingolipids	Medium-chain fatty acids
-0.0485935113918684	Bile acids, alcohols and derivatives	Ergosterols and derivatives
-0.0494190984006839	Tricarboxylic acids and derivatives	Flavonoids
-0.0499672931108153	Dicarboxylic acids and derivatives	Cholesterols and derivatives
-0.0508836474458483	Tetrahydroisoquinolines	Medium-chain fatty acids
-0.0511839715119508	Hydroxy acids and derivatives	Ergosterols and derivatives
-0.0522306288560296	Ergosterols and derivatives	Sulfated steroids
-0.0525411983122558	Phenol ethers	Cholesterols and derivatives
-0.0540173914651914	Tetrahydroisoquinolines	Tricarboxylic acids and derivatives
-0.0564137074597417	Ergosterols and derivatives	Phenol ethers
-0.0564516669263072	Alkyl-phenylketones	Coumarins and derivatives
-0.0567141980098088	Carboximidic acids and derivatives	Alkyl-phenylketones
-0.0571956086856881	Azolidines	Flavonoids
-0.058199694144595	Medium-chain fatty acids	Dipeptides
-0.0582927109747708	Cholesterols and derivatives	Sulfated steroids
-0.0586599922229607	Ergosterols and derivatives	Benzopyrans
-0.0600054990665179	Ergosterols and derivatives	Azolidines
-0.060885963638937	Quinolines and derivatives	Flavonoids
-0.0617121846530095	Organic sulfuric acids and derivatives	Medium-chain fatty acids
-0.0618785010098241	1-acyl-sn-glycero-3-phosphocholines	Medium-chain fatty acids
-0.0620812305390334	Tetrahydroisoquinolines	Coumarins and derivatives
-0.0634019245089156	Ergosterols and derivatives	Carboximidic acids and derivatives
-0.0634549747561552	Sphingolipids	Flavonoids
-0.0640626575559368	Carboximidic acids and derivatives	Medium-chain fatty acids
-0.0655807618383199	1-acyl-sn-glycero-3-phosphoethanolamines	Flavonoids
-0.0671798964661364	Alkyl-phenylketones	Dipeptides
-0.0682008402510731	Tetrahydroisoquinolines	Very long-chain fatty acids
-0.0687013117986956	Dicarboxylic acids and derivatives	Medium-chain fatty acids
-0.0695483043383684	Sphingolipids	Cholesterols and derivatives
-0.0702341936427043	1-acyl-sn-glycero-3-phosphocholines	Sulfated steroids
-0.0706782970490859	Cholesterols and derivatives	Very long-chain fatty acids
-0.0708722248037796	Hydroxy acids and derivatives	Flavonoids
-0.0722249985003779	Ergosterols and derivatives	Dicarboxylic acids and derivatives
-0.0725501616970283	Quinolines and derivatives	Sulfated steroids
-0.0726200958813041	Ergosterols and derivatives	Dipeptides
-0.0727077226599096	Carboximidic acids and derivatives	Tricarboxylic acids and derivatives
-0.0736809835800132	Tetrahydroisoquinolines	Quinolines and derivatives
-0.0741242559298953	Sphingolipids	Tetrahydroisoquinolines
-0.0745687672513212	L-alpha-amino acids	Sulfated steroids
-0.0753237059591898	1-acyl-sn-glycero-3-phosphoethanolamines	Tetrahydroisoquinolines
-0.0770638686620144	Azolidines	Carboximidic acids and derivatives
-0.0780183247011576	Ergosterols and derivatives	Sphingolipids
-0.0801570042053922	Benzopyrans	Annonaceous acetogenins
-0.0803677259308126	Cholesterols and derivatives	Organic sulfuric acids and derivatives
-0.0809261602913686	Azolidines	Tetrahydroisoquinolines
-0.084075807632315	Cholesterols and derivatives	Dipeptides
-0.0842303839644429	1-acyl-sn-glycero-3-phosphocholines	Flavonoids
-0.08735393793405	Bile acids, alcohols and derivatives	Flavonoids
-0.0875514332594836	Carboximidic acids and derivatives	Cholesterols and derivatives
-0.0896451571868115	Azolidines	Annonaceous acetogenins
-0.090502475870942	Carboximidic acids and derivatives	Tetrahydroisoquinolines
-0.0920193727970129	Sulfated steroids	Coumarins and derivatives
-0.0925325064020672	Carboximidic acids and derivatives	Annonaceous acetogenins
-0.0926796560517803	Tetrahydroisoquinolines	Dipeptides
-0.0932801172949287	Coumarins and derivatives	Annonaceous acetogenins
-0.0951851147264683	Dicarboxylic acids and derivatives	Flavonoids
-0.0953930490848954	1-acyl-sn-glycero-3-phosphocholines	Ergosterols and derivatives
-0.0966210384475624	Ergosterols and derivatives	Organic sulfuric acids and derivatives
-0.0966266875900706	Ergosterols and derivatives	1-acyl-sn-glycero-3-phosphoethanolamines
-0.0971139493521788	Benzopyrans	Flavonoids
-0.098443127320801	Tetrahydroisoquinolines	Sulfated steroids
-0.0992096859695575	Sphingolipids	Alkyl-phenylketones
-0.100476116564391	Very long-chain fatty acids	Annonaceous acetogenins
-0.10062493383218	Azolidines	Alkyl-phenylketones
-0.101631012457917	Dicarboxylic acids and derivatives	Tetrahydroisoquinolines
-0.101859794808937	Ergosterols and derivatives	Very long-chain fatty acids
-0.104215248871292	Alkyl-phenylketones	Organic sulfuric acids and derivatives
-0.106754762587778	Hydroxy acids and derivatives	Alkyl-phenylketones
-0.107449166703209	Sphingolipids	Annonaceous acetogenins
-0.107775615620358	Annonaceous acetogenins	Dipeptides
-0.109926553416476	L-alpha-amino acids	Annonaceous acetogenins
-0.11012729697537	Bile acids, alcohols and derivatives	Tetrahydroisoquinolines
-0.111785739246825	L-alpha-amino acids	Tetrahydroisoquinolines
-0.111832160228913	1-acyl-sn-glycero-3-phosphoethanolamines	Alkyl-phenylketones
-0.113303065473638	Organic sulfuric acids and derivatives	Annonaceous acetogenins
-0.114487852371419	Bile acids, alcohols and derivatives	Alkyl-phenylketones
-0.115691123968499	Tetrahydroisoquinolines	Organic sulfuric acids and derivatives
-0.117447929417505	1-acyl-sn-glycero-3-phosphocholines	Tetrahydroisoquinolines
-0.118338278112766	Hydroxy acids and derivatives	Annonaceous acetogenins
-0.118971445769119	L-alpha-amino acids	Alkyl-phenylketones
-0.119057518732323	Tetrahydroisoquinolines	Phenol ethers
-0.119494012677405	Dicarboxylic acids and derivatives	Annonaceous acetogenins
-0.120471403951337	1-acyl-sn-glycero-3-phosphocholines	Annonaceous acetogenins
-0.121329822109435	Hydroxy acids and derivatives	Tetrahydroisoquinolines
-0.122133301126185	1-acyl-sn-glycero-3-phosphoethanolamines	Annonaceous acetogenins
-0.127475904232791	Bile acids, alcohols and derivatives	Annonaceous acetogenins
-0.132377987831915	Phenol ethers	Annonaceous acetogenins
-0.133145225109945	Benzopyrans	Tetrahydroisoquinolines
-0.14424326733186	1-acyl-sn-glycero-3-phosphocholines	Alkyl-phenylketones
-0.153861966906418	Benzopyrans	Alkyl-phenylketones
-0.154714720794567	Dicarboxylic acids and derivatives	Alkyl-phenylketones
